0.41,-0.79,9.69,6803.00
0.42,-0.73,9.70,6810.00
0.41,-0.68,9.70,6815.00
0.43,-0.61,9.70,6820.00
0.43,-0.61,9.67,6826.00
0.45,-0.61,9.67,6832.00
0.44,-0.59,9.67,6838.00
0.41,-0.62,9.64,6844.00
0.38,-0.64,9.61,6850.00
0.35,-0.71,9.60,6855.00
0.33,-0.75,9.60,6860.00
0.31,-0.83,9.63,6866.00
0.38,-0.78,9.67,6872.00
0.41,-0.78,9.66,6878.00
0.42,-0.78,9.66,6883.00
0.44,-0.69,9.63,6889.00
0.47,-0.71,9.66,6894.00
0.45,-0.65,9.67,6901.00
0.46,-0.60,9.68,6906.00
0.45,-0.61,9.66,6911.00
0.45,-0.62,9.59,6917.00
0.49,-0.62,9.65,6923.00
0.46,-0.62,9.62,6929.00
0.38,-0.75,9.60,6934.00
0.37,-0.73,9.64,6940.00
0.37,-0.84,9.59,6946.00
0.40,-0.82,9.66,6951.00
0.40,-0.83,9.60,6957.00
0.46,-0.84,9.63,6962.00
0.44,-0.83,9.64,6968.00
0.39,-0.82,9.64,6974.00
0.43,-0.80,9.65,6980.00
0.48,-0.89,9.64,6986.00
0.52,-0.87,9.68,6991.00
0.49,-0.88,9.66,6997.00
0.47,-0.89,9.70,7002.00
0.50,-0.87,9.70,7008.00
0.50,-0.87,9.64,7013.00
0.48,-0.86,9.57,7019.00
0.50,-0.85,9.65,7025.00
0.46,-0.80,9.63,7030.00
0.51,-0.80,9.65,7037.00
0.49,-0.72,9.66,7043.00
0.45,-0.80,9.63,7048.00
0.45,-0.83,9.60,7054.00
0.45,-0.86,9.59,7059.00
0.45,-0.87,9.56,7064.00
0.45,-0.93,9.59,7070.00
0.45,-0.96,9.63,7076.00
0.48,-0.90,9.64,7082.00
0.50,-0.93,9.62,7088.00
0.47,-0.97,9.63,7093.00
0.46,-0.91,9.67,7099.00
0.41,-0.93,9.67,7104.00
0.42,-0.92,9.71,7110.00
0.42,-0.88,9.71,7116.00
0.46,-0.84,9.68,7121.00
0.44,-0.84,9.64,7127.00
0.44,-0.80,9.66,7132.00
0.42,-0.82,9.65,7139.00
0.42,-0.77,9.62,7145.00
0.45,-0.81,9.64,7150.00
0.48,-0.85,9.66,7155.00
